Código IBGE;Municí­pios;Microregião;Estado;Região Geográfica;Área km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensção Educação;IDH - Dimensção Longevidade;Atualização
5205455;Cezarina;Vale do Rio dos Bois;GO;Centro-Oeste;415,81;8703;2871;287096,21;0,71;3308,02;9498157,98;4938;0,65;0,81
5205471;Chapadão do Céu;Sudoeste de Goiás;GO;Centro-Oeste;2185,13;10486;3275;1106080,14;0,74;4895,50;16033546,83;10431;0,65;0,84
5205497;Cidade Ocidental;Entorno de Brasília;GO;Centro-Oeste;389,92;72890;21571;795632,75;0,72;3743,38;80751860,85;20875;0,64;0,81
5205513;Cocalzinho de Goiás;Entorno de Brasília;GO;Centro-Oeste;1789,04;20504;6478;326069,96;0,66;2732,50;17702789,24;7365;0,53;0,83
5205521;Colinas do Sul;Chapada dos Veadeiros;GO;Centro-Oeste;1708,19;3360;1080;45304,21;0,66;2515,92;2718597,80;1275;0,55;0,82
5205703;Córrego do Ouro;Iporá;GO;Centro-Oeste;462,30;2290;864;45768,39;0,69;3188,18;2754989,67;1242;0,58;0,80
5205802;Corumbá de Goiás;Entorno de Brasília;GO;Centro-Oeste;1061,95;11169;3598;174495,55;0,68;2809,53;10110850,99;4763;0,57;0,83
5205901;Corumbaíba;Catalão;GO;Centro-Oeste;1883,67;9869;3369;588941,82;0,70;3357,62;11311964,54;7369;0,58;0,83
5206206;Cristalina;Entorno de Brasília;GO;Centro-Oeste;6162,06;60210;18021;2327741,20;0,70;3559,78;64153345,12;34620;0,59;0,81
5206305;Cristianópolis;Pires do Rio;GO;Centro-Oeste;225,36;2964;1098;73396,84;0,69;2964,64;3257959,41;1695;0,55;0,84
5206404;Crixás;São Miguel do Araguaia;GO;Centro-Oeste;4661,16;17044;5695;521765,51;0,71;3161,75;18007485,03;11587;0,63;0,81
5206503;Cromínia;Meia Ponte;GO;Centro-Oeste;364,11;3472;1280;70266,15;0,71;2805,52;3593185,58;2034;0,63;0,80
5206602;Cumari;Catalão;GO;Centro-Oeste;570,54;2837;1033;60561,50;0,74;3413,98;3528362,45;1361;0,66;0,82
5206701;Damianópolis;Vão do Paranã;GO;Centro-Oeste;415,35;3306;1093;33750,69;0,65;2041,53;2233005,95;1173;0,56;0,82
5206800;Damolândia;Anápolis;GO;Centro-Oeste;84,50;2953;1073;39743,36;0,70;2892,81;3104753,17;1260;0,60;0,82
5206909;Davinópolis;Catalão;GO;Centro-Oeste;481,30;2094;812;388543,93;0,72;3382,56;2749484,20;1305;0,61;0,86
5207105;Diorama;Aragarças;GO;Centro-Oeste;687,35;2479;893;55101,43;0,73;2922,35;2609736,43;1048;0,70;0,84
5208301;Divinópolis de Goiás;Vão do Paranã;GO;Centro-Oeste;830,98;4778;1587;63466,60;0,65;2143,92;3402880,02;1872;0,55;0,81
5207253;Doverlândia;Sudoeste de Goiás;GO;Centro-Oeste;3222,94;7247;2498;237058,52;0,67;3088,01;7715214,55;3406;0,52;0,84
5207352;Edealina;Vale do Rio dos Bois;GO;Centro-Oeste;603,65;3688;1403;252407,91;0,70;3276,01;4598817,96;2414;0,59;0,81
5207402;Edéia;Vale do Rio dos Bois;GO;Centro-Oeste;1461,50;12467;4374;836398,72;0,74;4004,97;17518902,44;7848;0,65;0,83
5207501;Estrela do Norte;Porangatu;GO;Centro-Oeste;301,64;3264;1107;52167,17;0,71;3417,57;3785681,63;1468;0,59;0,85
5207535;Faina;Rio Vermelho;GO;Centro-Oeste;1945,66;6576;2310;107641,11;0,65;2526,27;5837517,41;3038;0,53;0,80
5207600;Fazenda Nova;Iporá;GO;Centro-Oeste;1281,42;5553;2052;101624,51;0,69;2730,76;5605269,70;2631;0,58;0,83
5207808;Firminópolis;Anicuns;GO;Centro-Oeste;423,65;13449;4749;175546,28;0,73;3163,36;15024768,82;5714;0,69;0,84
